playlist_index,original_title,original_artists,search_query_index,search_query_text,candidate_count,elapsed_ms,is_winner,winner_candidate_index,is_stop
21,This Time (Original Mix),"Adam Port, Jennifer Touch",19,This Time (Original Mix) (Original Mix) Jennifer Touch,29,14684,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",20,Jennifer Touch This Time (Original Mix) (Original Mix),6,14520,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",21,This Time (Original Mix) (Original Mix) Adam Port Jennifer Touch,6,6795,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",22,Adam Port Jennifer Touch This Time (Original Mix) (Original Mix),0,6026,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",23,This Time (Original Mix) (Original Mix) Adam Port & Jennifer Touch,6,6600,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",24,Adam Port & Jennifer Touch This Time (Original Mix) (Original Mix),172,16419,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",25,"This Time (Original Mix) Adam Port, Jennifer Touch",6,6062,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",26,This Time (Original Mix) Adam Port and Jennifer Touch,6,8042,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",27,"This Time (Original Mix) Jennifer Touch, Adam Port",6,6805,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",28,This Time (Original Mix) Jennifer Touch & Adam Port,6,7074,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",29,This Time (Original Mix) Jennifer Touch and Adam Port,6,6708,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",30,This Time (Original Mix) Jennifer Touch Adam Port,6,6086,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",31,"This Time Adam Port, Jennifer Touch",6,7918,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",32,This Time Adam Port and Jennifer Touch,6,8016,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",33,"This Time Jennifer Touch, Adam Port",6,8130,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",34,This Time Jennifer Touch & Adam Port,6,8580,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",35,This Time Jennifer Touch and Adam Port,6,7522,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",36,This Time Jennifer Touch Adam Port,6,7956,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",37,"This Time (Original Mix) (Original Mix) Adam Port, Jennifer Touch",6,6631,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",38,This Time (Original Mix) (Original Mix) Adam Port and Jennifer Touch,6,6867,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",39,"This Time (Original Mix) (Original Mix) Jennifer Touch, Adam Port",6,6511,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",40,This Time (Original Mix) (Original Mix) Jennifer Touch & Adam Port,6,6718,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",41,This Time (Original Mix) (Original Mix) Jennifer Touch and Adam Port,6,6212,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",42,This Time (Original Mix) (Original Mix) Jennifer Touch Adam Port,6,6718,N,,Y
22,Invisible,"Ian Ludvig, Literatura",1,Invisible Ian Ludvig,6,6364,N,,N
22,Invisible,"Ian Ludvig, Literatura",2,Ian Ludvig Invisible,14,18532,N,,N
22,Invisible,"Ian Ludvig, Literatura",3,Invisible Literatura,6,8039,Y,1,Y
23,Morning Fix,Xinobi,1,Morning Fix Xinobi,6,6654,N,,N
23,Morning Fix,Xinobi,2,Xinobi Morning Fix,41,19565,Y,1,Y
24,I've Learned That (Jonathan Kaspar Remix),Dino Lenny,1,I've Learned That (Jonathan Kaspar Remix) Jonathan Kaspar remix,123,20728,Y,1,N
24,I've Learned That (Jonathan Kaspar Remix),Dino Lenny,2,Jonathan Kaspar remix I've Learned That (Jonathan Kaspar Remix),122,18362,N,,N
24,I've Learned That (Jonathan Kaspar Remix),Dino Lenny,3,I've Learned That Jonathan Kaspar remix,72,20020,N,,N
24,I've Learned That (Jonathan Kaspar Remix),Dino Lenny,4,Jonathan Kaspar remix I've Learned That,46,19067,N,,N
24,I've Learned That (Jonathan Kaspar Remix),Dino Lenny,5,I've Learned That (Jonathan Kaspar Remix) (Jonathan Kaspar Remix) Jonathan Kaspar remix,141,16863,N,,Y
25,Pussy Power (Desiree (RSA) Remix),"&ME, Rampa, Adam Port, Nomi Ruiz, Keinemusik, Desiree (RSA)",1,Pussy Power (Desiree (RSA) Remix) ME,6,5910,Y,1,N
25,Pussy Power (Desiree (RSA) Remix),"&ME, Rampa, Adam Port, Nomi Ruiz, Keinemusik, Desiree (RSA)",2,ME Pussy Power (Desiree (RSA) Remix),6,6184,N,,N
25,Pussy Power (Desiree (RSA) Remix),"&ME, Rampa, Adam Port, Nomi Ruiz, Keinemusik, Desiree (RSA)",3,Pussy Power (Desiree (RSA) Remix) Rampa,6,6073,N,,N
25,Pussy Power (Desiree (RSA) Remix),"&ME, Rampa, Adam Port, Nomi Ruiz, Keinemusik, Desiree (RSA)",4,Rampa Pussy Power (Desiree (RSA) Remix),40,18022,N,,N
25,Pussy Power (Desiree (RSA) Remix),"&ME, Rampa, Adam Port, Nomi Ruiz, Keinemusik, Desiree (RSA)",5,Pussy Power (Desiree (RSA) Remix) Adam Port,6,6422,N,,Y
26,Faded,MANQO,1,Faded MANQO,6,7276,Y,1,N
26,Faded,MANQO,2,MANQO Faded,11,20367,N,,Y
27,Seeds Of Brooklyn (&ME Remix),Philip Arruda,1,Seeds Of Brooklyn (&ME Remix) ME remix,6,6872,Y,2,N
27,Seeds Of Brooklyn (&ME Remix),Philip Arruda,2,ME remix Seeds Of Brooklyn (&ME Remix),6,7253,N,,N
27,Seeds Of Brooklyn (&ME Remix),Philip Arruda,3,Seeds Of Brooklyn (&ME Remix) &ME remix,6,6753,N,,N
27,Seeds Of Brooklyn (&ME Remix),Philip Arruda,4,&ME remix Seeds Of Brooklyn (&ME Remix),63,17007,N,,N
27,Seeds Of Brooklyn (&ME Remix),Philip Arruda,5,Seeds Of Brooklyn ME remix,6,6021,N,,Y
28,Burn For You ,TWIINS (GR),1,Burn For You TWIINS (GR),6,6593,Y,1,N
28,Burn For You ,TWIINS (GR),2,TWIINS (GR) Burn For You,79,20177,N,,Y
29,Special,"DJ Yellow, Tracey K, Tiago Fragateiro",1,Special DJ Yellow,6,16455,N,,N
29,Special,"DJ Yellow, Tracey K, Tiago Fragateiro",2,DJ Yellow Special,6,8140,N,,N
29,Special,"DJ Yellow, Tracey K, Tiago Fragateiro",3,Special Tracey K,6,16013,N,,N
29,Special,"DJ Yellow, Tracey K, Tiago Fragateiro",4,Tracey K Special,6,8536,N,,N
29,Special,"DJ Yellow, Tracey K, Tiago Fragateiro",5,Special Tiago Fragateiro,6,7741,Y,2,Y
30,(F) Can't Get You Out Of My Head,"Desire, Guy Gerber",1,(F) Can't Get You Out Of My Head Desire,16,19865,Y,15,N
30,(F) Can't Get You Out Of My Head,"Desire, Guy Gerber",2,Desire (F) Can't Get You Out Of My Head,35,22913,N,,N
30,(F) Can't Get You Out Of My Head,"Desire, Guy Gerber",3,(F) Can't Get You Out Of My Head Guy Gerber,16,18877,N,,N
30,(F) Can't Get You Out Of My Head,"Desire, Guy Gerber",4,Guy Gerber (F) Can't Get You Out Of My Head,6,6052,N,,N
30,(F) Can't Get You Out Of My Head,"Desire, Guy Gerber",5,(F) Can't Get You Out Of My Head Desire Guy Gerber,152,17329,N,,Y
31,(F) Planet 9,Adam Port,1,(F) Planet 9 Adam Port,250,21448,Y,1,N
31,(F) Planet 9,Adam Port,2,Adam Port (F) Planet 9,6,7222,N,,N
31,(F) Planet 9,Adam Port,3,Planet 9 Adam Port,161,21792,N,,N
31,(F) Planet 9,Adam Port,4,Adam Port Planet 9,6,7838,N,,N
31,(F) Planet 9,Adam Port,5,Planet 9 (F) Adam Port,16,18412,N,,N
31,(F) Planet 9,Adam Port,6,Adam Port Planet 9 (F),6,6439,N,,Y
32,Working For It,"Adam Port, Jennifer Touch",1,Working For It Adam Port,6,6762,Y,1,N
32,Working For It,"Adam Port, Jennifer Touch",2,Adam Port Working For It,6,8357,N,,Y
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",1,(F) Faithful (Musumeci Sanctus remix) Musumeci Sanctus remix,28,18922,Y,2,N
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",2,Musumeci Sanctus remix (F) Faithful (Musumeci Sanctus remix),172,17430,N,,N
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",3,Faithful Musumeci Sanctus remix,6,6138,N,,N
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",4,Musumeci Sanctus remix Faithful,15,15352,N,,N
