playlist_index,original_title,original_artists,candidate_url,candidate_track_id,candidate_title,candidate_artists,candidate_key,candidate_key_camelot,candidate_year,candidate_bpm,candidate_label,candidate_genres,candidate_release,candidate_release_date,title_sim,artist_sim,base_score,bonus_year,bonus_key,final_score,guard_ok,reject_reason,search_query_index,search_query_text,candidate_index,elapsed_ms,winner
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/fountain-of-youth-original-mix/11118107,11118107,Fountain Of Youth Original Mix,Johannes Albert,Eb Minor,2A,2018,122,Frank Music,"Indie Dance, House, Jackin House",,2018-10-22,29.629629629629633,25,27.5,0,0,52.5,N,guard_artist_sim_no_overlap,6,Adam Port Planet 9 (F),6,1777,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/say-what-feat-chuala/19657454,19657454,Say What (feat. Chuala) feat. Chuala,"&ME, Rampa, Adam Port, Keinemusik, chuala",C Major,8B,2024,120,Keinemusik,"Afro House, Afro House|Afro Melodic, Afro House|Afro / Latin",,2024-10-25,8.695652173913047,23,15.1,0,0,-4.9,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,7,648,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/the-rapture-ptiii/17704236,17704236,The Rapture Pt.III Original Mix,"&ME, Black Coffee, Keinemusik",E Minor,9A,2023,120,Keinemusik,"Melodic House & Techno, Afro House, Afro House|Afro Melodic, Melodic House & Techno|Melodic House",,2023-06-09,32.14285714285714,23,28.0,0,0,8.0,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,10,696,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/home/15341268,15341268,Home Original Mix,Solomun,D Major,10B,2021,120,NINL,"Melodic House & Techno, Progressive House",,2021-05-28,9.523809523809518,100,50.2,0,0,33.2,N,guard_anchored_prefix,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,2,1192,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/at-night/20661162,20661162,At Night Anyma x Layton Giordani Extended Remix,"Shakedown, Layton Giordani, Anyma (ofc)",F Major,7B,2025,127,Defected,"Melodic House & Techno, Melodic House & Techno|Melodic House, Melodic House & Techno|Melodic Techno",,2025-06-27,40.0,37,38.7,0,0,30.7,N,guard_low_artist_high_title_required,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,1,1256,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/feeling-wild/17858411,17858411,Feeling Wild Aaaron Remix,"Nico Morano, WISDOM, Aaaron, Feeling Wild Aaaron",G Minor,6A,2023,120,LSF21+,"Afro House, Melodic House & Techno|Melodic House, Melodic House & Techno, Afro House|Afro Melodic, Progressive House",,2023-07-14,53.96825396825397,46,50.4,0,0,66.4,N,guard_low_artist_high_title_required,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,5,1333,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/original-mix/20583715,20583715,بالك تنساني Original Mix,Tounsi,Db Minor,12A,2025,124,TuneCore,"Afro House, Melodic House & Techno, Progressive House, Organic House, Afro House|Afro / Latin",,2025-08-11,0.0,46,20.7,0,0,-14.3,N,guard_low_artist_high_title_required,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,6,1455,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/one-love-original-mix/14308315,14308315,One Love Original Mix,DJ Island,E Minor,9A,2020,120,Hommage,"House, Nu Disco / Disco, Deep House, Minimal / Deep Tech",,2020-10-16,17.391304347826093,37,26.2,0,0,-8.8,N,guard_low_artist_high_title_required,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,4,1941,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/crazy-for-it-feat-vinson/20529591,20529591,Crazy For It (feat. Vinson) feat. Vinson,"Boys Noize, &ME, Rampa, Adam Port, Keinemusik, Vinson",Ab Minor,1A,2025,120,Keinemusik,Melodic House & Techno,,2025-05-30,24.0,46,31.2,0,0,51.2,N,guard_low_artist_high_title_required,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,11,1945,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/more-love/18251881,18251881,More Love Rampa &ME Remix,"Moderat, ME, Rampa, Keinemusik, Love Rampa",B Minor,10A,2023,122,Keinemusik,"Melodic House & Techno, Afro House",,2023-10-27,41.26984126984127,35,38.4,0,0,30.4,N,guard_low_artist_high_title_required,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,12,1979,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/all-i-got/19487594,19487594,All I Got Original Mix,"Adam Port, Keinemusik, Masšh, Ninae",C Minor,5A,2024,121,Madorasindahouse Records,"Afro House|Afro Melodic, Afro House",,2024-09-27,17.02127659574468,23,19.7,0,0,-18.3,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,13,2146,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/love-songs-feat-kosmo-kint/21977538,21977538,Love Songs (feat. Kosmo Kint) Extended Mix,"Prospa, Kosmo Kint",Bb Minor,3A,2025,127,CircoLoco Records,"House, Tech House, Minimal / Deep Tech|Minimal House, Deep House, Minimal / Deep Tech|Deep Tech, Bass House",,2025-10-03,16.66666666666667,23,19.5,0,0,-5.5,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,17,1442,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/move-feat-malachiii/19119572,19119572,Move (feat. Malachiii) feat. Malachiii,"Adam Port, Keinemusik, Stryv, Malachiii",Ab Minor,1A,2024,120,Keinemusik,"Afro House|Afro Melodic, Afro House, Melodic House & Techno",,2024-06-07,14.285714285714292,23,18.2,0,0,-1.8,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,8,3454,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/father-ocean/11242952,11242952,Father Ocean Ben Böhmer Remix,"Monolink, Ben Böhmer, Ocean Ben Böhmer",D Major,10B,2018,122,Embassy One,"Melodic House & Techno, Melodic House & Techno|Melodic House, Progressive House",,2018-11-30,41.791044776119406,40,41.0,0,0,57.0,N,guard_low_artist_high_title_required,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,3,3561,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/thandaza-feat-alan-dixon-arabic-piano/18778205,18778205,"Thandaza (feat. Alan Dixon, Arabic Piano) Original Mix","&ME, Rampa, Adam Port, Keinemusik, Alan Dixon, Arabic Piano",Gb Minor,11A,2024,123,Keinemusik,"Melodic House & Techno, Afro House, Afro House|Afro Melodic, Melodic House & Techno|Melodic House",,2024-03-15,8.695652173913047,35,18.9,0,0,-17.1,N,guard_low_artist_high_title_required,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,14,2481,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/neverender/19538564,19538564,Neverender Rampa Remix,"Justice, Rampa, Tame Impala, Keinemusik, Neverender Rampa",Db Minor,12A,2024,120,Genesis (Because),"Afro House, Afro House|Afro Melodic, Melodic House & Techno|Melodic House, Melodic House & Techno",,2024-09-27,46.666666666666664,23,36.0,0,0,28.0,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,9,3813,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/afterparty/21805588,21805588,Afterparty Extended Mix,"Gaddi, HILLS (US)",Eb Major,5B,2025,132,Catch & Release,"Tech House, Bass House, House",,2025-10-03,20.83333333333333,26,23.2,0,0,44.2,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,18,1571,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/la-noche/21893118,21893118,LA NOCHE Extended Mix,"Chris Lake, Skrillex, ANITA B QUEEN",Ab Major,4B,2025,127,Black Book Records,"Bass House, Tech House, House",,2025-10-03,17.391304347826093,26,21.3,0,0,-6.7,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,19,1650,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/les-gout/16883828,16883828,Les Gout Original Mix,"Rampa, Keinemusik, chuala",F Minor,4A,2022,120,Keinemusik,"Afro House, Afro House|Afro / Latin",,2022-09-09,21.73913043478261,23,22.3,0,0,-15.7,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,15,3189,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/diet-coke/22095452,22095452,Diet Coke Extended Mix,Fallon (IE),D Major,10B,2025,128,Experts Only,"Tech House, Bass House, House",,2025-10-10,21.276595744680847,37,28.4,0,0,3.4,N,guard_low_artist_high_title_required,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,23,1197,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/see-you-again/20965348,20965348,See You Again Original Mix,"&ME, Rampa, Adam Port, Keinemusik, Sevdaliza",Bb Minor,3A,2025,120,Keinemusik,"Melodic House & Techno, Melodic House & Techno|Melodic House",,2025-08-15,55.55555555555556,25,41.8,0,0,3.8,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,16,3377,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/cry-for-you/21531599,21531599,Cry For You Extended Mix,SIDEPIECE,E Major,12B,2025,132,LIP SERVICE,"Dance / Pop, Mainstage",,2025-09-26,16.326530612244895,12,14.4,0,0,35.4,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,21,1490,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/a-place-you-wanna-go-good-life/21993672,21993672,A Place You Wanna Go (Good Life) Good Life,bullet tooth,B Minor,10A,2025,132,Positiva,Dance / Pop,,2025-10-03,29.411764705882348,21,25.6,0,0,46.6,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,25,1102,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/love-parade/21774346,21774346,Love Parade Extended Mix,"Da Hool, Cassian, YOTTO",D Major,10B,2025,128,Afterlife Records,"Melodic House & Techno, Melodic House & Techno|Melodic Techno",,2025-09-19,20.40816326530613,33,26.1,0,0,-1.9,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,20,1736,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/fancy-hit/21309496,21309496,Fancy $hit Extended Mix,"CID, Taylr Renee",F Major,7B,2025,129,Catch & Release,"Tech House, Bass House, House, Tech House|Latin Tech",,2025-09-05,17.02127659574468,11,14.3,0,0,35.3,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,22,1792,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,https://www.beatport.com/track/murder-mystery/21592952,21592952,Murder Mystery Original Mix,Jamie Jones,Eb Minor,2A,2025,128,Hot Creations,"Tech House, House",,2025-10-03,30.769230769230774,22,26.8,0,0,-8.2,N,guard_artist_sim_no_overlap,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,24,1587,N
