playlist_index,original_title,original_artists,candidate_url,candidate_track_id,candidate_title,candidate_artists,candidate_key,candidate_key_camelot,candidate_year,candidate_bpm,candidate_label,candidate_genres,candidate_release,candidate_release_date,title_sim,artist_sim,base_score,bonus_year,bonus_key,final_score,guard_ok,reject_reason,search_query_index,search_query_text,candidate_index,elapsed_ms,winner
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/bafut/16703621,16703621,Bafut Original Mix,Eddie Ferrer,E Major,12B,2022,124,REDOLENT,"Afro House, Organic House, Melodic House & Techno",,2022-07-22,16.0,22,18.7,0,0,23.7,N,guard_artist_sim_no_overlap,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,9,3871,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/el-camino/17248667,17248667,El Camino Original Mix,Thaye,C Major,8B,2022,123,Sudam Recordings,"Organic House, Afro House",,2022-12-30,41.37931034482759,36,39.0,0,0,44.0,N,guard_low_artist_high_title_required,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,12,2401,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/split-and-dream/17330455,17330455,Split and Dream Original Mix,NonCitizens,F Major,7B,2023,122,Wired,"Afro House, Afro House|Afro / Latin",,2023-03-10,40.0,23,32.4,0,0,37.4,N,guard_artist_sim_no_overlap,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,11,2939,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/space-invasion/17178390,17178390,Space Invasion Original Mix,Bun Xapa,G Major,9B,2023,122,Aluku Records,"Afro House, Melodic House & Techno, Organic House, Afro House|3Step",,2023-01-06,35.294117647058826,28,32.0,0,0,37.0,N,guard_low_artist_high_title_required,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,15,2631,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/el-gouda/17330454,17330454,El Gouda Original Mix,NonCitizens,D Major,10B,2023,122,Wired,"Afro House, Afro House|Afro / Latin",,2023-03-10,21.42857142857143,23,22.1,0,0,27.1,N,guard_artist_sim_no_overlap,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,13,3199,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/disappear-feat-tasan/17402004,17402004,Disappear feat. Tasan Andrea Oliva Extended Remix,"Nico de Andrea, THEMBA (SA), Tasan, Andrea Oliva",A Major,11B,2023,123,Armada Music,"Afro House, Afro House|Afro Melodic, Afro House|Afro / Latin, Organic House, Melodic House & Techno",,2023-03-10,27.58620689655173,36,31.4,0,0,23.4,N,guard_low_artist_high_title_required,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,10,5540,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/elevate/17452929,17452929,Elevate Original Mix,"Klement Bonelli, Arodes",Ab Major,4B,2023,121,Connected Frontline,"Afro House, Melodic House & Techno",,2023-03-10,22.22222222222223,33,27.1,0,0,32.1,N,guard_low_artist_high_title_required,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,14,3816,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/fantasma/17335874,17335874,Fantasma Original Mix,Savage & SHē,F Major,7B,2023,122,Wired,"Afro House, Afro House|Afro / Latin",,2023-03-24,28.57142857142857,16,22.9,0,0,27.9,N,guard_artist_sim_no_overlap,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,18,3175,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/mtna/17389586,17389586,Mtna Caiiro Remix,"MoBlack, juan Soul, Caiiro, Mtna Caiiro",A Minor,8A,2023,123,MoBlack Records,"Afro House, Amapiano",,2023-02-24,27.02702702702703,35,30.6,0,0,22.6,N,guard_low_artist_high_title_required,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,17,3709,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/i-can-feel-my-heart-again-feat-steffanie-christian/18939909,18939909,I Can Feel My Heart Again feat. Steffanie Christi'an Kintar Extended Remix,"Inner City, Steffanie Christi'an, Kintar",E Minor,9A,2024,123,Armada Music Albums,"Afro House, Melodic House & Techno, Amapiano, Progressive House, Melodic House & Techno|Melodic House",,2024-05-03,35.55555555555556,100,64.6,0,0,56.6,N,guard_short_title_high_floor,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,20,2996,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/midnight/17178414,17178414,Midnight Original Mix,"Knight Warriors, Celestial Soul",Gb Major,2B,2023,120,Aluku Records,"Afro House, Melodic House & Techno, Organic House, Afro House|3Step",,2023-01-06,21.42857142857143,47,32.9,0,0,37.9,N,guard_title_token_coverage,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,19,3138,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/esperanza-feat-yana-mann/16864711,16864711,Esperanza feat. Yana Mann Jean Claude Ades Remix,"ARKADYAN, Demayä, Yana Mann, Jean Claude Ades",C Major,8B,2022,123,SCM,"Organic House, Afro House, Afro House|Afro / Latin",,2022-09-23,27.58620689655173,28,27.8,0,0,19.8,N,guard_low_artist_high_title_required,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,16,4734,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/uthando-lungihlulile/18932003,18932003,Uthando Lungihlulile Kintar Remix,"Drizzy Sam, Puntsa, Ohp Sage, Kintar, Uthando Lungihlulile Kintar",E Minor,9A,2024,91,Nothing But,"Afro House, Progressive House",,2024-04-26,30.188679245283012,100,61.6,0,0,53.6,N,guard_short_title_high_floor,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,22,2725,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/i-can-feel-my-heart-again-feat-steffanie-christian/18914036,18914036,I Can Feel My Heart Again feat. Steffanie Christi'an Kintar Extended Remix,"Inner City, Steffanie Christi'an, Kintar",E Minor,9A,2024,123,Armada Music,"Afro House, Progressive House, Organic House, Melodic House & Techno, Amapiano",,2024-04-26,35.55555555555556,100,64.6,0,0,56.6,N,guard_short_title_high_floor,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,21,2970,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/happy-4-you/18790837,18790837,Happy 4 you Original mix,Kintar,Bb Major,6B,2024,123,Natura Viva Black,"Tech House, House, Tech House|Latin Tech, Bass House",,2024-04-22,32.25806451612904,100,62.7,0,0,67.7,N,guard_short_title_high_floor,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,23,2550,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/eternidad/18687247,18687247,Eternidad Extended Mix,"Kintar, Delum, Alexander Robledo",B Minor,10A,2024,123,Armada Music Albums,"Dance / Pop, Mainstage|Future House",,2024-03-01,20.689655172413794,100,56.4,0,0,60.4,N,guard_short_title_high_floor,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,25,2175,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/end-emotions/18658675,18658675,End Emotions Extended Mix,Kintar,F Minor,4A,2024,119,Armada Music,Afro House,,2024-03-01,31.25,100,62.2,0,0,69.2,N,guard_short_title_high_floor,1,[3] A Day In Tepoztlan (Extended Mix) Kintar,24,2336,N
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,https://www.beatport.com/track/wonderful-man/16776884,16776884,Wonderful Man Original Mix,Maffa,A Minor,8A,2022,122,Cruise Music,"Nu Disco / Disco, House, Funky House, Indie Dance",,2022-09-02,30.303030303030297,18,24.8,0,0,29.8,N,guard_artist_sim_no_overlap,2,Kintar [3] A Day In Tepoztlan (Extended Mix),6,529,N
64,(F) Home (Club Mix),Solomun,https://www.beatport.com/track/home/15341268,15341268,Home Original Mix,Solomun,D Major,10B,2021,120,NINL,"Melodic House & Techno, Progressive House",,2021-05-28,100.0,100,100.0,0,0,88.5,Y,,1,(F) Home (Club Mix) Solomun,1,1285,Y
64,(F) Home (Club Mix),Solomun,https://www.beatport.com/track/no-comment-original-mix/13408897,13408897,No Comment Original Mix,Solomun,A Minor,8A,2020,122,Push Communications,"Deep House, House, Minimal / Deep Tech",,2020-04-10,37.5,100,65.6,0,0,52.6,N,guard_short_title_high_floor,1,(F) Home (Club Mix) Solomun,2,1405,N
64,(F) Home (Club Mix),Solomun,https://www.beatport.com/track/well-never-have-today-again/14812254,14812254,We'll never have today again Original Mix,Solomun,C Minor,5A,2021,123,Cocoon Recordings,"Melodic House & Techno, Afro House",,2021-02-19,23.529411764705884,100,57.9,0,0,44.9,N,guard_short_title_high_floor,1,(F) Home (Club Mix) Solomun,3,1470,N
64,(F) Home (Club Mix),Solomun,https://www.beatport.com/track/its-all-about-love/14085203,14085203,It's All About Love Original Mix,Joseph Capriati,E Major,12B,2020,128,REDIMENSION,"Deep House, House",,2020-09-04,24.0,9,17.2,0,0,4.2,N,guard_artist_sim_no_overlap,1,(F) Home (Club Mix) Solomun,10,1497,N
64,(F) Home (Club Mix),Solomun,https://www.beatport.com/track/shades/14225368,14225368,Shades Johannes Brecht Remix,"Fur Coat, Johannes Brecht, Shades Johannes Brecht",C Minor,5A,2020,124,Renaissance Music,"Breaks / Breakbeat / UK Bass, UK Garage / Bassline, Drum & Bass, UK Garage / Bassline|UK Garage",,2020-10-02,23.529411764705884,26,24.6,0,0,22.6,N,guard_low_artist_high_title_required,1,(F) Home (Club Mix) Solomun,8,1580,N
64,(F) Home (Club Mix),Solomun,https://www.beatport.com/track/the-center-will-not-hold/15054312,15054312,The Center Will Not Hold Club Edit,Solomun,Bb Minor,3A,2021,120,NINL,"Melodic House & Techno, Progressive House",,2021-04-09,22.85714285714286,100,57.6,0,0,44.6,N,guard_short_title_high_floor,1,(F) Home (Club Mix) Solomun,6,2096,N
64,(F) Home (Club Mix),Solomun,https://www.beatport.com/track/ocean-feat-gabro-demais/14314663,14314663,Ocean Feat. Gabro Demais Introverxion Edition,"Toto Chiavetta, Gabro Demais",E Major,12B,2020,121,Diynamic,Melodic House & Techno,,2020-10-29,36.36363636363637,21,29.5,0,0,16.5,N,guard_artist_sim_no_overlap,1,(F) Home (Club Mix) Solomun,7,2419,N
64,(F) Home (Club Mix),Solomun,https://www.beatport.com/track/rotweinfleck/13134182,13134182,Rotweinfleck Original Mix,Solomun,D# Minor,2A,2020,125,Diynamic,Melodic House & Techno,,2020-02-21,22.22222222222223,100,57.2,0,0,82.2,N,guard_short_title_high_floor,1,(F) Home (Club Mix) Solomun,4,2682,N
64,(F) Home (Club Mix),Solomun,https://www.beatport.com/track/carnivale/897330,897330,Carnivale Original Mix,"Jackmate, Solomun",Eb Minor,2A,2009,125,Phil e,"Deep House, House",,2009-07-10,13.333333333333329,100,52.3,0,0,21.3,N,guard_short_title_high_floor,1,(F) Home (Club Mix) Solomun,14,1504,N
64,(F) Home (Club Mix),Solomun,https://www.beatport.com/track/home/14323099,14323099,Home Club Mix,Solomun,D Major,10B,2020,120,NINL,"Melodic House & Techno, Progressive House, Afro House",,2020-10-16,100.0,100,100.0,0,0,88.5,Y,,1,(F) Home (Club Mix) Solomun,9,3086,N
64,(F) Home (Club Mix),Solomun,https://www.beatport.com/track/nu-world/17155143,17155143,Nu World Solomun Extended Mix,"Maceo Plex, Solomun",E Minor,9A,2022,126,Ellum,"Melodic House & Techno, Melodic House & Techno|Melodic House, Progressive House",,2022-12-16,27.272727272727266,100,60.0,0,0,39.0,N,guard_short_title_high_floor,1,(F) Home (Club Mix) Solomun,5,3152,N
64,(F) Home (Club Mix),Solomun,https://www.beatport.com/track/who-are-you/13362775,13362775,Who Are You Original Mix,Tunnelvisions,C Minor,5A,2020,122,Diynamic,"Indie Dance, House",,2020-07-10,35.294117647058826,30,32.9,0,0,1.9,N,guard_low_artist_high_title_required,1,(F) Home (Club Mix) Solomun,12,1931,N
64,(F) Home (Club Mix),Solomun,https://www.beatport.com/track/myriad/5368082,5368082,Myriad Original Mix,Psyk,Gb Minor,11A,2014,132,Mote Evolver,"Techno (Raw / Deep / Hypnotic), Techno (Peak Time / Driving)",,2014-05-19,16.66666666666667,18,17.3,0,0,-13.7,N,guard_artist_sim_no_overlap,1,(F) Home (Club Mix) Solomun,15,1808,N
