playlist_index,original_title,original_artists,beatport_title,beatport_artists,beatport_key,beatport_key_camelot,beatport_year,beatport_bpm,beatport_label,beatport_genres,beatport_release,beatport_release_date,beatport_track_id,beatport_url,title_sim,artist_sim,match_score,confidence,search_query_index,search_stop_query_index,candidate_index
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",Don't Call Guy Gerber Rework - Extended Mix,"Guy Gerber, Desire",C# Major,3B,2020,120,Rumors,"Melodic House & Techno, Afro House, Melodic House & Techno|Melodic House",,2020-06-17,13687742,https://www.beatport.com/track/dont-call/13687742,100.0,100,134.5,high,1,5,1
12,[3] Speed Of Sound,"El Mundo, Zazou",Speed of Sound Original Mix,"El Mundo, Zazou",G Minor,6A,2022,118,Kindisch,"Organic House, Afro House|Afro / Latin, Melodic House & Techno, Afro House",,2022-05-06,16427121,https://www.beatport.com/track/speed-of-sound/16427121,100.0,100,106.5,high,5,5,9
13,Guava (Extended Mix),Tunnelvisions,Guava Extended Mix,Tunnelvisions,G Minor,6A,2018,115,Musicpark Records,"Deep House, House",,2018-12-07,11273460,https://www.beatport.com/track/guava/11273460,100.0,100,108.5,high,1,2,2
14,Flip Of The Coin (feat Zoe Kypri - extended mix),Bajau,Flip of the Coin feat. Zoe Kypri Extended Mix,Bajau,F Minor,4A,2020,122,Future Disco,"Deep House, House",,2020-06-05,13640126,https://www.beatport.com/track/flip-of-the-coin-feat-zoe-kypri-extended-mix/13640126,100.0,100,108.5,high,1,2,1
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",Bird Of Prey Original Mix,"Thomas Schwartz, Fausto Fanizza",D Minor,7A,2021,120,Deep Root Records,"Afro House, Melodic House & Techno",,2021-04-30,15141260,https://www.beatport.com/track/bird-of-prey/15141260,100.0,100,108.5,high,1,8,1
16,Sebastien Leger & Tim Green - Duel (Original Mix),,Duel Original Mix,"Sebastien Leger, Tim Green",B Minor,10A,2023,124,Balance Music,"Organic House, Progressive House, Melodic House & Techno",,2023-05-05,17518864,https://www.beatport.com/track/duel/17518864,100.0,100,108.5,high,1,8,1
17,Limba La (Extended Mix)  www.electronicfresh.com,Somelee,Limba La Original Mix,Somelee,G Minor,6A,2021,122,Melody Of the Soul,"Organic House, Melodic House & Techno, Afro House",,2021-12-10,15902475,https://www.beatport.com/track/limba-la/15902475,100.0,100,105.0,high,1,2,2
18,Mujer (feat. Meta),Xinobi,Mujer feat. Meta_ Original Mix,Xinobi,A Minor,8A,2022,119,Discotexas,"Afro House|Afro / Latin, Afro House, Melodic House & Techno, Organic House, Melodic House & Techno|Melodic House",,2022-09-30,16070826,https://www.beatport.com/track/mujer-feat-meta_/16070826,100.0,100,106.5,high,2,2,1
19,Fizzy Pop,"Max Milner, Layla Benitez",Fizzy Pop feat. Max Milner Extended Mix,"Max Milner, Layla Benitez",C Minor,5A,2022,120,All Day I Dream,"Organic House, Melodic House & Techno, Afro House, Melodic House & Techno|Melodic House",,2022-08-05,16752814,https://www.beatport.com/track/fizzy-pop-feat-max-milner/16752814,100.0,100,106.5,high,1,2,1
20,Honey,"SOAME, Animor",Honey feat. Animor Original Mix,"SOAME, Animor",C Major,8B,2019,120,Toolroom,"Deep House, House",,2019-05-10,11893377,https://www.beatport.com/track/honey-feat-animor-original-mix/11893377,100.0,100,106.5,high,1,2,4
21,This Time (Original Mix),"Adam Port, Jennifer Touch",,,,,,,,,,,,,0,0,0.0,low,0,0,0
22,Invisible,"Ian Ludvig, Literatura",Invisible Original Mix,"Ian Ludvig, LITERATURA",A Minor,8A,2022,120,Poesie Musik,"Melodic House & Techno, Afro House, Progressive House, Organic House",,2022-05-27,16486430,https://www.beatport.com/track/invisible/16486430,100.0,100,106.5,high,3,3,1
23,Morning Fix,Xinobi,Morning Fix Original Mix,Xinobi,D Minor,7A,2021,119,Discotexas,"Melodic House & Techno, Afro House, Organic House, Melodic House & Techno|Melodic House",,2021-05-14,14987621,https://www.beatport.com/track/morning-fix/14987621,100.0,100,106.5,high,2,2,1
24,I've Learned That (Jonathan Kaspar Remix),Dino Lenny,I've Learned That Jonathan Kaspar Remix,"Dino Lenny, Jonathan Kaspar, That Jonathan Kaspar",Db Major,3B,2023,123,Crosstown Rebels,"Indie Dance, House",,2023-03-17,17446080,https://www.beatport.com/track/ive-learned-that/17446080,100.0,100,117.5,high,1,5,1
25,Pussy Power (Desiree (RSA) Remix),"&ME, Rampa, Adam Port, Nomi Ruiz, Keinemusik, Desiree (RSA)",Pussy Power DESIREE Remix,"ME, Rampa, Adam Port, Keinemusik, Nomi Ruiz, DESIREE (RSA), Pussy Power DESIREE",A Minor,8A,2023,120,Keinemusik,"Afro House, Melodic House & Techno, Afro House|Afro Melodic, Melodic House & Techno|Melodic House",,2023-02-03,17364516,https://www.beatport.com/track/pussy-power/17364516,100.0,100,103.0,high,1,5,1
26,Faded,MANQO,Faded Original Mix,MANQO,A Minor,8A,2024,122,VOD,"Afro House, Afro House|Afro Melodic, Melodic House & Techno, Melodic House & Techno|Melodic House",,2024-08-16,19370804,https://www.beatport.com/track/faded/19370804,100.0,100,106.5,high,1,2,1
27,Seeds Of Brooklyn (&ME Remix),Philip Arruda,Seeds Of Brooklyn &ME Remix,"Philip Arruda, ME, Of Brooklyn",B Minor,10A,2015,124,Inmotion Music,"Tech House, House",,2015-05-11,6642313,https://www.beatport.com/track/seeds-of-brooklyn/6642313,100.0,100,117.5,high,1,5,2
28,Burn For You ,TWIINS (GR),Burn For You Original Mix,TWIINS (GR),D Minor,7A,2024,121,Anims,"Afro House, Melodic House & Techno, Organic House, Melodic House & Techno|Melodic Techno, Afro House|Afro Melodic",,2024-11-15,19726207,https://www.beatport.com/track/burn-for-you/19726207,100.0,100,106.5,high,1,2,1
29,Special,"DJ Yellow, Tracey K, Tiago Fragateiro",Special Original Mix,"DJ Yellow, Tracey K, Tiago Fragateiro",G Minor,6A,2011,119,Composite Records,"Deep House, House",,2011-07-12,2029600,https://www.beatport.com/track/special/2029600,100.0,100,105.5,high,5,5,2
30,(F) Can't Get You Out Of My Head,"Desire, Guy Gerber",Can't Get You Out Of My Head Original Mix,"Guy Gerber, Desire",G Minor,6A,2022,114,Italians Do It Better,"Melodic House & Techno, Afro House",,2022-01-25,16114832,https://www.beatport.com/track/cant-get-you-out-of-my-head/16114832,100.0,100,126.5,high,1,5,15
31,(F) Planet 9,Adam Port,Planet 9 Original Mix,Adam Port,Eb Major,5B,2021,122,Songbird,"Melodic House & Techno, Afro House",,2021-08-27,15570714,https://www.beatport.com/track/t/15570714?currency=AUD&srsltid=AfmBOoq93QV7cZZPvT22O0CEP7-tiMBOqssqWjvO5fRryce-HlBIbK7k,100.0,100,70.5,low,1,6,1
32,Working For It,"Adam Port, Jennifer Touch",Working For It Feat. Jennifer Touch Original Mix,"Adam Port, Jennifer Touch",G Major,9B,2016,122,Keinemusik,"Deep House, House",,2016-06-24,8049672,https://www.beatport.com/track/adam-port-working-for-it-feat-jennifer-touch-original-mix/8049672,100.0,100,106.5,high,1,2,1
33,(F) Faithful (Musumeci Sanctus remix),"Sante, Re.You & Oluhle",Faithful Musumeci Sanctus Remix,"Sante, Re.you, Oluhle, Musumeci, Faithful Musumeci Sanctus",A Minor,8A,2022,120,Voltaire Music,"Afro House, Melodic House & Techno, Organic House",,2022-12-26,17221138,https://www.beatport.com/track/faithful/17221138,100.0,100,143.5,high,1,5,2
34,Mujer (Anja Schneider Remix),Xinobi / Meta_,Mujer Anja Schneider Remix,"Xinobi, Meta_, Anja Schneider, Mujer Anja Schneider",A Minor,8A,2022,119,Discotexas,"Melodic House & Techno, Melodic House & Techno|Melodic House, Afro House",,2022-08-19,16583398,https://www.beatport.com/track/mujer/16583398,100.0,100,117.5,high,1,5,2
35,Cover Me (Dixon),Depeche Mode,Cover Me Dixon Remix,"Depeche Mode, Cover Me Dixon",F Minor,4A,2017,122,Columbia (Sony),"Indie Dance, House",,2017-10-06,9844534,https://www.beatport.com/track/cover-me/9844534,100.0,100,126.5,high,1,4,1
36,[2] Izolo (Lost Desert & Lee Burridge Remix),Bantwanas,Izolo feat. Khonaye Lost Desert & Lee Burridge Remix,"Bantwanas, Khonaye, Lee Burridge, Lost Desert",E Minor,9A,2022,120,All Day I Dream,Organic House,,2022-05-20,16503229,https://www.beatport.com/track/izolo-feat-khonaye/16503229,100.0,100,116.0,high,1,5,1
37,[2] Emowe (Sasson (FR) Remix),Notre Dame & Sasson,Emowe Sasson (FR) Remix,"Notre Dame, Sasson (FR)",A Minor,8A,2021,120,My Other Side of the Moon,"Afro House, Melodic House & Techno",,2021-11-05,15851020,https://www.beatport.com/track/emowe/15851020,100.0,100,129.5,high,1,5,2
38,[2] Bumblebee,Fka Mash & Sió,Bumblebee Extended Mix,"Sio, Fka Mash",G Minor,6A,2022,116,Defected,"Afro House, Organic House, Afro House|Afro / Latin, Melodic House & Techno",,2022-08-19,16806311,https://www.beatport.com/track/bumblebee/16806311,100.0,100,106.5,high,1,2,2
39,[2-3] The Rhythm (Alex Twin Remix) ,"Tony P., Walter Scalzone",The Rhythm feat. Mr V Alex Twin Remix,"Tony P., Walter Scalzone, Alex Twin, V Alex Twin",G Minor,6A,2020,120,UNION RECORDS (IT),"Afro House, Afro House|Afro / Latin",,2020-08-14,14005090,https://www.beatport.com/track/the-rhythm-feat-mr-v/14005090,100.0,100,116.0,high,1,5,1
40,[3-4] Ay como hago (Aura & Sebastian Rivero Remix),"Emanuele Esposito, Gianni Romano",Ay como hago Aüra & Sebastian Rivero Remix,"Emanuele Esposito, Gianni Romano, Anlly Marin, Yimalá, Aura, Sebastian Rivero",B Major,1B,2022,122,Switch Records,Afro House,,2022-08-12,16707584,https://www.beatport.com/track/ay-como-hago-feat-anlly-marin-yimala/16707584,100.0,100,111.5,high,1,5,2
41,[3] Rainforest Walk (Original Mix) [3],Obbie ,Rainforest Walk Original Mix,Obbie,D Minor,7A,2022,121,All Day I Dream,"Organic House, Melodic House & Techno",,2022-08-05,16752824,https://www.beatport.com/track/rainforest-walk/16752824,100.0,100,108.5,high,1,8,1
42,[2] Dat Guitar (Original Mix),Caiiro,Dat Guitar Original Mix,Caiiro,A Minor,8A,2022,115,OwnIt Music,Afro House,,2022-05-20,16566974,https://www.beatport.com/track/dat-guitar/16566974,100.0,100,98.5,high,1,8,1
43,[2-3] Reflections (Black Coffee Extended Remix),Themba feat. Thoko (SA),Reflections feat. Thoko (SA) Black Coffee Extended Remix,"THEMBA (SA), Thoko (SA), Black Coffee",A Minor,8A,2022,110,Armada Music Albums,"Afro House, Melodic House & Techno, Afro House|Afro Melodic",,2022-06-03,16538355,https://www.beatport.com/track/reflections-feat-thoko-sa/16538355,100.0,100,92.0,med,1,24,2
44,Wizard Of Love,Blondish feat. Shawni,Wizard Of Love Original Mix,"BLOND:ISH, Shawni",A Minor,8A,2014,120,Rebirth,"Deep House, House",,2014-12-22,6175661,https://www.beatport.com/track/wizard-of-love/6175661,100.0,97,105.2,high,4,4,2
45,[3] (F) Diablo (feat. Domitila),Yamil Domitila,Diablo Feat. Domitila [Club Mix],"Yamil, Domitila",F Minor,4A,2022,110,ORIANNA,"Organic House, Afro House, Afro House|Afro / Latin",,2022-01-14,16104991,https://www.beatport.com/track/diablo/16104991,100.0,100,88.5,med,1,8,1
46,[3-4] (F) Inside Your Soul (Reznik Remix),Whitesquare,Inside Your Soul Reznik Remix,"Whitesquare, Reznik (DE), Your Soul Reznik",D Minor,7A,2023,122,Visual Distortions,"Indie Dance, House",,2023-02-24,17372213,https://www.beatport.com/track/inside-your-soul/17372213,100.0,100,117.5,high,1,5,1
47,[3] Before The Flood (Ankhoi Remix),&ME & Rampa & Adam Port & Keinemusik & Cubicolor,Before The Flood (feat. Cubicolor) Ankhoï Remix,"ME, Rampa, Adam Port, Keinemusik, Cubicolor, Ankhoi, Ankhoï",G Minor,6A,2023,121,Keinemusik,"Melodic House & Techno, Afro House|Afro Melodic, Afro House, Melodic House & Techno|Melodic Techno, Melodic House & Techno|Melodic House",,2023-04-28,17627605,https://www.beatport.com/track/before-the-flood-feat-cubicolor/17627605,100.0,100,119.5,high,1,5,1
48,[3] Just Let Go feat. Zemira Israel (Original Mix),Birds of Mind,Just Let Go feat. Zemira Israel Original Mix,"Birds of Mind, Zemira Israel",C Minor,5A,2019,122,Get Physical Music,"Deep House, House",,2019-07-19,12283588,https://www.beatport.com/track/just-let-go-feat-zemira-israel/12283588,100.0,100,108.5,high,1,8,4
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,,,,,,,,,,,,,0,0,0.0,low,0,0,0
50,Bluebird (Extended Mix),LevyM,Bluebird Extended Mix,LevyM,A Minor,8A,2024,123,Nervous Records,"Afro House, Afro House|Afro Melodic, Melodic House & Techno|Melodic House, Melodic House & Techno",,2024-02-09,18602824,https://www.beatport.com/track/bluebird/18602824,100.0,100,108.5,high,1,2,1
51,Tumhe (Original Mix),Niki Muxx,Tumhe Original Mix,Niki Muxx,C Minor,5A,2024,124,MoBlack Records,"Afro House, Organic House, Afro House|Afro / Latin",,2024-02-09,18586233,https://www.beatport.com/track/tumhe/18586233,100.0,100,108.5,high,1,6,1
52,Whatever We Call It (Original Mix),"Tripolism, Meera (NO)",Whatever We Call It Original Mix,"Tripolism, Meera (NO)",A Major,11B,2024,120,Ultra,"Afro House, Afro House|Afro Melodic, Organic House, Melodic House & Techno|Melodic House, Melodic House & Techno",,2024-01-19,18535255,https://www.beatport.com/track/whatever-we-call-it/18535255,100.0,100,108.5,high,1,8,16
53,[3] Body Conversations (feat. Starving Yet Full) (Original Mix),"Antdot, MAXI MERAKI, Samm (BE)",Body Conversations (feat. Starving Yet Full) Original Mix,"Antdot, MAXI MERAKI, Samm (BE)",G Minor,6A,2023,123,Dawn Patrol Records,"Afro House|Afro Melodic, Melodic House & Techno, Afro House, Melodic House & Techno|Melodic Techno",,2023-06-09,17700765,https://www.beatport.com/track/body-conversations-feat-starving-yet-full/17700765,100.0,100,107.5,high,1,8,1
54,[1] Feelings (Original Mix),"Sinvergüenza, Carola d'Emilio",Feelings Original Mix,"Sinvergüenza, Carola d'Emilio",B Major,1B,2022,122,TRANSA RECORDS,"Afro House, Afro House|Afro / Latin",,2022-05-09,16485084,https://www.beatport.com/track/feelings/16485084,100.0,100,108.5,high,1,8,1
55,[5] Touching My Body,"Skepta, Jammer, Etta Bond",Touching My Body Original Mix,"Jammer, Skepta, Etta Bond",G Minor,6A,2023,127,Más Tiempo,"Melodic House & Techno, Afro House, Organic House, Melodic House & Techno|Melodic House",,2023-06-30,17848068,https://www.beatport.com/track/touching-my-body/17848068,100.0,100,105.5,high,48,48,12
56,[6] Hide (Original Mix),Felix Raphael & Theologos,Hide Original Mix,"Felix Raphael, Theologos",E Minor,9A,2022,122,KATERMUKKE,"Progressive House, Melodic House & Techno, Melodic House & Techno|Melodic Techno",,2022-12-09,17127686,https://www.beatport.com/track/hide/17127686,100.0,100,108.5,high,1,8,1
57,[6-7] Mwele,"Egeme, Idd Aziz",Mwele Original Mix,"Idd Aziz, Cafe De Anatolia, Egeme",G Minor,6A,2023,122,Cafe De Anatolia LAB,"Organic House, Afro House, Melodic House & Techno",,2023-09-01,17986154,https://www.beatport.com/track/mwele/17986154,100.0,100,103.5,high,1,2,1
58,[3] Intuición (Club Mix),"Yulia Niko, Sil Romero",Intuición Club Mix,"Yulia Niko, Sil Romero",A Minor,8A,2022,122,ORIANNA,"Afro House|Afro / Latin, Afro House, Melodic House & Techno, Organic House",,2022-04-22,16393981,https://www.beatport.com/track/intuicion/16393981,100.0,100,102.5,high,3,3,7
59,[5] Lune (Original Mix),Tim Green,Lune Original Mix,Tim Green,C Major,8B,2022,122,All Day I Dream,"Organic House, Melodic House & Techno",,2022-10-28,16918530,https://www.beatport.com/track/lune/16918530,100.0,100,108.5,high,1,8,1
60,[3] Losing My Religion (Extended Mix),"Samantha Loveridge, Treetalk",Losing My Religion (feat. Treetalk) Extended Mix,"Samantha Loveridge, Treetalk",D Minor,7A,2023,122,Get Physical Music,"Melodic House & Techno, Afro House",,2023-04-28,17538519,https://www.beatport.com/track/losing-my-religion-feat-treetalk/17538519,100.0,100,108.5,high,1,2,1
61,[3] Time (feat. Cassie),Black Coffee,Time Original Mix,"Cassie, Black Coffee",F Minor,4A,2021,119,Ultra,"Deep House, House, Minimal / Deep Tech",,2021-02-05,14536988,https://www.beatport.com/track/time/14536988,100.0,100,106.5,high,1,2,12
62,[3] Before The Flood (feat. Cubicolor) (Ankhoï Remix),"&ME, Rampa, Adam Port, Keinemusik, Cubicolor",Before The Flood (feat. Cubicolor) Ankhoï Remix,"ME, Rampa, Adam Port, Keinemusik, Cubicolor, Ankhoi, Ankhoï",G Minor,6A,2023,121,Keinemusik,"Melodic House & Techno, Afro House|Afro Melodic, Afro House, Melodic House & Techno|Melodic Techno, Melodic House & Techno|Melodic House",,2023-04-28,17627605,https://www.beatport.com/track/before-the-flood-feat-cubicolor/17627605,100.0,100,119.5,high,1,5,1
63,[3] A Day In Tepoztlan (Extended Mix),Kintar,A Day In Tepoztlan Extended Mix,Kintar,A Minor,8A,2023,122,Armada Music Albums,"Afro House, Progressive House, Melodic House & Techno",,2023-05-05,17616240,https://www.beatport.com/track/a-day-in-tepoztlan/17616240,100.0,100,108.5,high,1,2,3
64,(F) Home (Club Mix),Solomun,Home Original Mix,Solomun,D Major,10B,2021,120,NINL,"Melodic House & Techno, Progressive House, Melodic House & Techno|Melodic House",,2021-05-28,15341268,https://www.beatport.com/track/home/15341268,100.0,100,88.5,med,1,8,2
65,La Luz (Original Mix) [1],Notre Dame,La Luz Original Mix,Notre Dame,A Minor,8A,2020,110,WAYU Records,"Organic House, Melodic House & Techno",,2020-07-31,13868871,https://www.beatport.com/track/la-luz-original-mix/13868871,100.0,100,108.5,high,1,8,2
66,Fragile (Original Mix) [1],Gabbana,Fragile Original Mix,Papi Gaba,Db Minor,12A,2022,125,Q1E2 Recordings,"House, Deep House, Nu Disco / Disco, Funky House",,2022-05-06,16456763,https://www.beatport.com/track/fragile/16456763,100.0,62,91.4,med,5,8,4
67,Blomst Original Mix,Meera (NO),Blomst Original Mix,Meera (NO),Db Minor,12A,2024,118,Crib Records,"Afro House, Afro House|Afro Melodic, Melodic House & Techno, Melodic House & Techno|Melodic House",,2024-05-03,18879019,https://www.beatport.com/track/blomst/18879019,100.0,100,108.5,high,1,8,1
68,Gcwanini Samantha Loveridge Extended Remix,"Korus, Blanka Mazimela, Sobantwana",Gcwanini Samantha Loveridge Extended Remix,"Korus, Blanka Mazimela, Sobantwana, Samantha Loveridge",A Minor,8A,2024,122,Get Physical Music,"Afro House, Afro House|Afro / Latin",,2024-05-03,18911202,https://www.beatport.com/track/gcwanini/18911202,100.0,100,104.5,high,1,5,1
69,Can't Get You Out Of My Head,"Guy Gerber, Desire",Can't Get You Out Of My Head Original Mix,"Guy Gerber, Desire",G Minor,6A,2022,114,Italians Do It Better,"Melodic House & Techno, Afro House",,2022-01-25,16114832,https://www.beatport.com/track/cant-get-you-out-of-my-head/16114832,100.0,100,106.5,high,1,2,15
70,Planet 9 ,Adam Port,Planet 9 Original Mix,Adam Port,Eb Major,5B,2018,122,Diynamic,"Melodic House & Techno, Afro House, Melodic House & Techno|Melodic House",,2018-10-19,11126850,https://www.beatport.com/track/planet-9/11126850,100.0,100,106.5,high,1,2,16
71,Faithful (Musumeci Sanctus Remix),Santé,Faithful Musumeci Sanctus Remix,"Sante, Re.you, Oluhle, Musumeci, Faithful Musumeci Sanctus",A Minor,8A,2022,120,Voltaire Music,"Afro House, Melodic House & Techno, Organic House",,2022-12-26,17221138,https://www.beatport.com/track/faithful/17221138,100.0,100,117.5,high,1,5,3
72,Sun ,SOAME feat. Jinadu,Sun feat. Jinadu Original Mix,"Jinadu, SOAME",G Minor,6A,2023,123,Hive Audio,"Organic House, Melodic House & Techno, Afro House",,2023-12-15,18389098,https://www.beatport.com/track/sun-feat-jinadu/18389098,100.0,100,106.5,high,1,2,2
73,Middle Man,Dancing on Lego,Middle Man Original Mix,Dancing on Lego,F Minor,4A,2024,123,ELEMENTS,"Indie Dance, House",,2024-09-27,19522122,https://www.beatport.com/track/middle-man/19522122,100.0,100,106.5,high,1,2,2
74,(F) Bind (Rampa Remix),Howling,Bind Rampa Remix,"Howling, Rampa, Bind Rampa",F Major,7B,2020,123,Counter Records,"Melodic House & Techno, Afro House, Melodic House & Techno|Melodic Techno, Melodic House & Techno|Melodic House",,2020-09-01,14162348,https://www.beatport.com/track/bind/14162348,100.0,100,117.5,high,1,5,1
75,Alter He-Go (Fiona Kraft Remix),Gab Rhome,Alter He-Go Fiona Kraft Remix,"Gab Rhome, Fiona Kraft, Go Fiona Kraft",D Major,10B,2023,123,Disco Halal,"Afro House, Melodic House & Techno, Organic House",,2023-02-13,17318152,https://www.beatport.com/track/alter-he-go/17318152,100.0,100,117.5,high,2,5,25
76,Felicidade (Nandu Remix),"gleb filipchenkow, Shiny Head",Felicidade Nandu Remix,"Shiny Head, gleb filipchenkow, Nandu, Felicidade Nandu",C Major,8B,2023,121,Secret Fusion,"Melodic House & Techno, Afro House, Melodic House & Techno|Melodic House",,2023-03-17,17466526,https://www.beatport.com/track/felicidade/17466526,100.0,100,117.5,high,1,5,1
77,Flores (Meera (NO) Remix),"Emanuel Satie,Maga,Meera (NO)",Flores Meera (NO) Remix,"Emanuel Satie, Maga, Meera (NO)",D Major,10B,2024,120,Scenarios,Afro House,,2024-04-12,18864051,https://www.beatport.com/track/flores/18864051,100.0,100,128.5,high,1,5,1
78,Oasis (Safar (FR) Remix),"La Santa, G.Zamora",Oasis Safar (FR) Remix,"La Santa, G.Zamora, Safar (FR)",E Major,12B,2024,123,REDOLENT,"Afro House, Organic House, Afro House|Afro / Latin",,2024-01-19,18480051,https://www.beatport.com/track/oasis/18480051,100.0,100,126.5,high,1,5,1
79,The Base ,Fiona Kraft,The Base Original Mix,Fiona Kraft,A Minor,8A,2024,123,NON MERCI MUSIC,"Afro House, Afro House|3Step",,2024-07-19,19164830,https://www.beatport.com/track/the-base/19164830,100.0,100,106.5,high,1,2,1
80,Wash Away,Jerry K,Wash Away Extended Mix,Jerry K,A Minor,8A,2022,123,Casareccio Records,"Deep House, House, Minimal / Deep Tech",,2022-03-04,16246226,https://www.beatport.com/track/wash-away/16246226,100.0,100,106.5,high,1,2,7
81,*Own The Fire (Extended Lit Mix),"NenaHalena, AMEME",Own The Fire Extended Lit Mix,"NenaHalena, AMEME",Gb Major,2B,2024,122,One Tribe Records,"Afro House, Afro House|Afro Melodic, Afro House|Afro / Latin",,2024-02-23,18640819,https://www.beatport.com/track/own-the-fire/18640819,100.0,100,126.5,high,1,5,7
82,Free Your Mind (Luch Remix),"Boddhi Satva, OVEOUS",Free Your Mind Luch Remix,"Boddhi Satva, OVEOUS, LUCH, Your Mind Luch",Db Minor,12A,2024,119,Atal Music,"Afro House, Melodic House & Techno|Melodic House, Melodic House & Techno",,2024-03-22,18811089,https://www.beatport.com/track/free-your-mind/18811089,100.0,100,117.5,high,1,5,1
83,Go Down,"Yamil, Ian Ludvig, Troymusiq ",Go Down Original Mix,"Yamil, Ian Ludvig, TroyMusiq",C# Minor,12A,2020,120,Madorasindahouse Records,"Afro House, Afro House|Afro Melodic, Melodic House & Techno",,2020-06-26,13838511,https://www.beatport.com/track/go-down/13838511,100.0,100,105.5,high,3,3,1
84,Land of Spirits ,Da Le (Havana),Land of Spirits Extended Mix,Da Le (Havana),G Major,9B,2024,120,Pattaki,Afro House,,2024-06-07,18924512,https://www.beatport.com/track/land-of-spirits/18924512,100.0,100,106.5,high,1,2,1
85,Lola's Theme (Tripolism Remix),"The Shapeshifters, Tripolism",Lola's Theme Tripolism Extended Remix,"The Shapeshifters, Tripolism",G Minor,6A,2025,124,Glitterbox Recordings,"House, Deep House, Tech House, Indie Dance",,2025-02-07,20006786,https://www.beatport.com/track/lolas-theme/20006786,100.0,100,96.5,high,1,5,1
86,Nimbe,Yamil,Nimbe Original Mix,Yamil,Db Minor,12A,2024,120,Connected Frontline,"Afro House, Organic House, Melodic House & Techno, Melodic House & Techno|Melodic House",,2024-05-31,18960994,https://www.beatport.com/track/nimbe/18960994,100.0,100,106.5,high,1,2,1
87,Poison,Kashovski,Poison Original Mix,Kashovski,Gb Major,2B,2022,124,Calamar Records,"Melodic House & Techno, Afro House, Melodic House & Techno|Melodic House",,2022-06-03,16586044,https://www.beatport.com/track/poison/16586044,100.0,100,106.5,high,1,2,1
88,Rumours (Dr Feel Remix),"Megatronic, Wandile Mbambeni, Dr Feel",Rumours Dr Feel Remix,"Megatronic, Wandile Mbambeni, Dr Feel, Rumours Dr Feel",C Minor,5A,2024,118,Paradise Sound System,"Afro House, Organic House, Melodic House & Techno",,2024-05-24,18922991,https://www.beatport.com/track/rumours/18922991,100.0,100,119.5,high,1,5,1
